City,High,Low,Medium,UQ,LQ,Count,Mean,Std
新北,69000,5000,30000.0,38000.0,26000.0,60,32283.333333333332,10102.95611305039
高雄,75000,20000,31000.0,37750.0,27000.0,62,33096.77419354839,8790.958840542267
嘉義,35000,21000,30000.0,34000.0,24000.0,5,28800.0,5491.812087098392
臺中,55000,29000,42000.0,48500.0,35500.0,2,42000.0,13000.0
彰化,36000,22000,27000.0,32000.0,24000.0,9,27666.666666666668,4496.912521077347
屏東,31000,23000,26000.0,28500.0,25000.0,7,26714.285714285714,2602.981022612657
臺北,35000,26000,30000.0,31500.0,28500.0,6,30166.666666666668,2852.873794770615
國立,28000,5000,16500.0,22250.0,10750.0,2,16500.0,11500.0
日本,600000,63000,110000.0,320000.0,66000.0,5,231800.0,206963.18513204227
City,High,Low,Medium,UQ,LQ,Count,Mean,Std
新竹,99000,5000,35000.0,48750.0,29250.0,38,41736.84210526316,19569.961152270716
高雄,75000,20000,31000.0,37750.0,27000.0,62,33096.77419354839,8790.958840542267
新北,69000,5000,30000.0,38000.0,26000.0,60,32283.333333333332,10102.95611305039
台南,130000,21000,30000.0,35000.0,27000.0,43,35906.976744186046,19005.279503323785
日本,600000,63000,110000.0,320000.0,66000.0,5,231800.0,206963.18513204227
台北,1500000,5000,34000.0,42000.0,30000.0,353,41827.1954674221,78985.43020025465
彰化,36000,22000,27000.0,32000.0,24000.0,9,27666.666666666668,4496.912521077347
雲林,110000,27000,40000.0,46000.0,33000.0,5,51200.0,30089.2007205243
屏東,31000,23000,26000.0,28500.0,25000.0,7,26714.285714285714,2602.981022612657
宜蘭,37000,22000,31000.0,34750.0,26500.0,4,30250.0,5760.859310901456
桃園,80000,5000,32000.0,45000.0,28000.0,49,36632.65306122449,14977.117073002033
嘉義,35000,21000,30000.0,34000.0,24000.0,5,28800.0,5491.812087098392
台中,90000,5000,30000.0,35750.0,26000.0,74,32378.37837837838,10776.228471642851
臺北,35000,26000,30000.0,31500.0,28500.0,6,30166.666666666668,2852.873794770615
City,High,Low,Medium,UQ,LQ,Count,Mean,Std
臺北,35000,26000,30000.0,31500.0,28500.0,6,30166.666666666668,2852.873794770615
台北,1500000,5000,34000.0,42000.0,30000.0,354,41906.779661016946,78887.96181299114
彰化,36000,22000,27000.0,32000.0,24000.0,9,27666.666666666668,4496.912521077347
新竹,99000,5000,35000.0,48750.0,29250.0,38,41736.84210526316,19569.961152270716
新北,69000,5000,30000.0,38000.0,26000.0,60,32283.333333333332,10102.95611305039
宜蘭,37000,22000,31000.0,34750.0,26500.0,4,30250.0,5760.859310901456
台中,90000,5000,30000.0,36500.0,26000.0,75,32680.0,11014.124265384577
台南,130000,21000,30000.0,35000.0,27000.0,43,35906.976744186046,19005.279503323785
高雄,75000,20000,31000.0,37750.0,27000.0,62,33096.77419354839,8790.958840542267
屏東,31000,23000,26000.0,28500.0,25000.0,7,26714.285714285714,2602.981022612657
嘉義,35000,21000,30000.0,34000.0,24000.0,5,28800.0,5491.812087098392
桃園,80000,5000,32000.0,45000.0,28000.0,49,36632.65306122449,14977.117073002033
日本,600000,63000,110000.0,320000.0,66000.0,5,231800.0,206963.18513204227
雲林,110000,27000,40000.0,46000.0,33000.0,5,51200.0,30089.2007205243
